Empty
1483215002,171,25380
1483216742,1469,7740
1483218482,9,23220
1483218482,33,26760
1483219022,2230,11700
1483220762,1263,20520
1483220822,2663,15540
1483220882,1562,11280
1483222982,1357,11940
1483223162,885,7740
1483223762,15,23280
1483224062,936,12780
1483224182,1,23880
1483225682,19,23820
1483226402,1079,23880
1483229162,2407,21960
1483229522,255,25260
1483231142,2669,6960
1483232882,179,23160
1483234862,942,10560
1483236602,381,25980
1483240382,2530,7380
1483240742,1458,20400
1483243502,2382,11460
1483246982,1223,14100
1483247282,1166,10860
1483247402,279,11520
1483247942,2183,5400
1483249022,117,23820
1483249142,199,4500
1483249442,65,12060
1483252442,1185,20160
1483252982,101,7560
1483252982,67,23520
1483254602,133,23820
1483255382,235,11640
1483255442,970,20460
1483255502,1515,17220
1483255802,1530,9600
1483255862,2675,15180
1483256162,95,23880
1483256462,177,25380
1483257902,1120,9960
1483258262,83,23400
1483261562,1635,6720
1483262642,938,12540
1483263242,21,24960
1483264922,85,26040
1483265342,293,24540
1483266902,209,22800
1483268402,84,23520
1483269062,185,23700
1483270622,1105,3780
1483274222,23,23880
1483299782,1166,10800
1483302602,171,24000
1483303022,1431,22260
1483303202,1469,7860
1483304702,9,24900
1483305062,2230,12660
1483305062,33,25560
1483306742,1263,21960
1483307282,2663,15780
1483307342,1562,10200
1483308542,1,25020
1483309322,885,7920
1483309502,1357,13020
1483310102,15,24420
1483311002,936,12960
1483312142,19,23400
1483315382,2407,22560
1483315742,255,23040
1483317542,1845,7380
1483319102,179,25740
1483319342,942,12540
1483322702,381,23040
1483326242,2530,8160
1483327202,1458,21960
1483333562,1223,14400
1483333622,2183,6180
1483333742,279,10800
1483335602,199,5280
1483335962,117,26220
1483337162,65,12060
1483337882,2382,11700
1483339022,1185,20460
1483340342,101,6540
1483340762,133,24720
1483341002,235,13200
1483343222,95,22320
1483343522,2675,14580
1483343702,970,20040
1483344722,1530,10980
1483345322,83,24600
1483345742,67,25620
1483346282,1120,10620
1483348082,21,26340
1483348382,1515,17880
1483349222,1635,7020
1483351562,177,25980
1483352342,938,14280
1483352942,209,23280
1483354082,293,25620
1483354862,84,23400
1483355222,85,25740
1483355882,185,23340
1483357442,1105,4200
